Entry	Entry Name	Reviewed	Protein names	Gene Names	Organism	Length
A0A023I7E1	ENG1_RHIMI	reviewed	Glucan endo-1,3-beta-D-glucosidase 1 (Endo-1,3-beta-glucanase 1) (EC 3.2.1.39) (Laminarinase) (RmLam81A)	ENG1 LAM81A	Rhizomucor miehei	796
A0A067XG64	A0A067XG64_PARTM	unreviewed	Beta-xylosidase (EC 3.2.1.37)		Parageobacillus thermoglucosidasius (Geobacillus thermoglucosidasius)	707
A0A075B5H6	A0A075B5H6_TRIHA	unreviewed	beta-mannosidase (EC 3.2.1.25)		Trichoderma harzianum (Hypocrea lixii)	942
A0A076U926	A0A076U926_9FUNG	unreviewed	Glucanase (EC 3.2.1.-)	cbhC7	Orpinomyces sp. Y102	449
A0A083ZKV2	A0A083ZKV2_RHIRD	unreviewed	Alpha-glucosidase yihQ (EC 3.2.1.20) (Sulfoquinovosidase)	yihQ AGTUEHA105_LOCUS3069 SY94_3281	Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter)	664
A0A088BCU2	A0A088BCU2_9BACL	unreviewed	Glucanase (EC 3.2.1.-)	lic8H	Paenibacillus sp. X4	409
A0A0D1M7L2	A0A0D1M7L2_9LACO	unreviewed	Alpha-N-arabinofuranosidase (Extracellular exo-alpha-(1->5)-L-arabinofuranosidase (EC 3.2.1.55)) (Extracellular exo-alpha-1->5-L-arabinofuranosidase) (Family 43 glycosylhydrolase)	AO080_02990 B6254_2263 B9D04_01605 HF635_03260 QX99_00224	Weissella cibaria	324
A0A0D5X2Y8	A0A0D5X2Y8_TRIAD	unreviewed	O-GlcNAcase (EC 3.2.1.169)		Trichoplax adhaerens (Trichoplax reptans)	723
A0A0D5YGK2	A0A0D5YGK2_ACIBA	unreviewed	Lysozyme (EC 3.2.1.17)	ABUW_1326 DVA69_16720 EA686_25815 NCTC13421_01283	Acinetobacter baumannii	184
A0A0H2UKY4	A0A0H2UKY4_STREE	unreviewed	Glycoside hydrolase (EC 3.2.1.102)		Streptococcus pneumoniae SP3-BS71	596
A0A0H2UNG0	PULA_STRPN	reviewed	Pullulanase A (EC 3.2.1.41) (Alpha-dextrin endo-1,6-alpha-glucosidase) (Pullulan 6-glucanohydrolase)	spuA SP_0268	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	1280
A0A0H2UP19	A0A0H2UP19_STRPN	unreviewed	beta-galactosidase (EC 3.2.1.23)	bgaA SP_0648	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	2233
A0A0H2YRL1	A0A0H2YRL1_CLOP1	unreviewed	Hyaluronoglucosaminidase (EC 3.2.1.35)	nagH CPF_0184	Clostridium perfringens (strain ATCC 13124 / DSM 756 / JCM 1290 / NCIMB 6125 / NCTC 8237 / Type A)	1627
A0A0H3C5N2	A0A0H3C5N2_CAUVN	unreviewed	Beta-galactosidase (EC 3.2.1.23)	CCNA_00830	Caulobacter vibrioides (strain NA1000 / CB15N) (Caulobacter crescentus)	549
A0A0J4VP90	A0A0J4VP90_KLEVA	unreviewed	Glucanase (EC 3.2.1.-)	AN2335V1_3670 IAP99_01170 NCTC9177_00719 SAMEA3729809_04098	Klebsiella variicola	333
A0A0J9X262	A0A0J9X262_KLEOX	unreviewed	Alpha-L-rhamnosidase (EC 3.2.1.40)	KOX_19945	Klebsiella oxytoca	523
A0A0S2GKZ1	A0A0S2GKZ1_9APHY	unreviewed	Endo-beta-1,4-glucanase D (Endoglucanase D) (EC 3.2.1.4) (Carboxymethylcellulase D) (Cellulase D)		Panus similis	254
A0A0U3SGP7	A0A0U3SGP7_9EURY	unreviewed	cellulase (EC 3.2.1.4)	ADU37_CDS22600	Thermococcus sp. 2319x1	1303
A0A0U4EBH5	CELDZ_THESZ	reviewed	Cellulase CelDZ1 (EC 3.2.1.4)	celDZ1a	Thermoanaerobacterium sp	385
A0A133PTK7	A0A133PTK7_9BACT	unreviewed	CD-NTase-associated protein 12 (EC 3.2.2.5) (NAD(+) hydrolase) (TIR-STING)	HMPREF3226_02659	Prevotella corporis	311
A0A154EJU5	A0A154EJU5_ACIBA	unreviewed	UDP-N-acetylglucosamine 2-epimerase (Hydrolyzing) (EC 3.2.1.183)	neuC AW828_RS14995 F2P40_13620 G3N53_15425	Acinetobacter baumannii	378
A0A161KIT4	A0A161KIT4_9EURY	unreviewed	Chitinase (EC 3.2.1.14)	chiD A3L04_09445 CHITON_1119	Thermococcus chitonophagus	805
A0A174QSL3	A0A174QSL3_BACT4	unreviewed	Beta-hexosaminidase (EC 3.2.1.52) (Family 20 glycosylhydrolase)	exo I_10 ERS852511_03057 GAN91_24875 GAO00_07630	Bacteroides thetaiotaomicron	774
